name,region,variety,rating,notes
Accendo Cellars Cabernet Sauvignon 2016,"Napa Valley, California",Red Wine,96.0,"Reflecting the outstanding vintage, the captivating nose of this wine shows dark and brooding aromas of cassis,plum and blackberry, touched by exotic notes of lavender, anise, pencil lead and leather. On the palate, rich flavorsof ripe black fruits are wrapped around a firm structure of fine-grained tannins, minerality and beautiful freshnessthat carry on into the long, satisfying finish. Per winemakers Françoise Peschon and Nigel Kinsman: “The consistency ofan exceptional vintage is expressed in the purity, length and fineness of this wine – it is deep and powerful, yet perfectly integrated, seamlessfrom approach to finish, full of plush flavor from ripe fruit, ending with silky tannins and graphite that linger on the palate.”"
Agharta Black Label Red 2004,"North Coast, California",Red Wine,98.0,"Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth. This wine isn’t noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine. "
Agharta Syrah (1.5 Liter Magnum) 2004,"North Coast, California",Red Wine,98.0,"Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth.  This wine isn't noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine."

Agharta Syrah 2004,"North Coast, California",Red Wine,98.0,"""Evolved aromas of roasted earth, dried leather and meat jus immediately emerge from the surface of this opaque liquid. Eventually fruit aromas respond to your coaxing and tiny currants, the ripest blackberries and the densest of blue fruits fill out the darker more evolved aromas of leather and tar. The wine is thick and immediately mouth coating with a very richly textured and immensely concentrated sensation of fruit and spice. The secondary aromas of delicate white flowers, black summer truffles and dark roasted coffee highlight the fruit as the wine unfolds in your mouth.  This wine isn't noticeably oaky or excruciatingly tannic or seemingly sweet, it is just all kind of 'there' composed and finely knit together in a very decadent glass of wine."""
Alain Voge Cornas Vieilles Vignes 2010,"Cornas, Rhone, France",Red Wine,99.0,"Cornas ""Les Vieilles Vignes"" comes from Syrah vineyards, more than 30 years old, on decomposed granite slopes, also alled ""gore"". This wine is a lighter style, with some good violet and dark red fruit."
Alban Lorraine Estate Syrah 2005,"Edna Valley, Central Coast, California",Red Wine,96.0,"The finest Syrah John Alban has yet produced, its inky/ruby/purple hue is accompanied by gorgeously sweet aromas of flowers, blueberries, black raspberries, blackberries, and subtle hints of smoky oak, bacon fat, and licorice. "

Alban Pandora 2006,"Edna Valley, Central Coast, California",Red Wine,97.0,"White flowers, cloves and mint wrap around layers of plush dark fruit in a sensual, mysterious Grenache of the very highest level. Despite its size, the Pandora is more refined than the straight Grenache. "
Alban Reva Estate Syrah 2011,"Edna Valley, Central Coast, California",Red Wine,96.0,"Smoke, graphite, iodine and chocolate all show in this full-bodied, concentrated, yet fresh and lively Syrah. It will benefit from short-term cellaring and 15 years of longevity. "
Albert Boxler Riesling Grand Cru Brand Kirchberg 2016,"Alsace, France",White Wine,98.0,"ne whiff of this might make you want to plunge right into the glass. Once the wine hits your tongue... Nope, zingy lemon, delicate white flowers, rich mineral backbone, beautiful mouthwatering finish, incredible length... (though all true) will not come close to summing up the experience of enjoying this wine. How’s “Buy as much as you can get” for a tasting note? It’s a classic!"

Albert Boxler Riesling Grand Cru Sommerberg Eckberg 2016,"Alsace, France",White Wine,98.0,"My favorite Riesling in the store (perhaps ever). Zesty, minerally, intensely aromatic, boundlessly deep—my Alsatian ancestry approves!"
Albino Rocca Barbaresco Ronchi 2014,"Barbaresco, Piedmont, Italy",Red Wine,96.0,"Deep garnet red. Intense, frank and fruity on the nose with aromas of cherry, blackberry, vanilla, toasted nuts, sweet spices, complex, balsamic and mineral notes. The palate is rich, soft and fresh with fine tannins and a good persistence."
Aldo Conterno Granbussia Barolo Riserva 2008,"Barolo, Piedmont, Italy",Red Wine,96.0,"The Barolo Reserve Granbussia is produced by blending grapes from the oldest vines, from the Romirasco, Cicala, and Colonnello, before fermentation starts, in the following percentages respectively: 70% - 15% - 15%. Naturally these optimal values may vary depending on the year. The Granbussia remains in the cellar for at least 8 years before commercialization. It  is produced exclusively in the best years and in limited quantities. "

Alejandro Bulgheroni Lithology Beckstoffer To Kalon Vineyard Cabernet Sauvignon 2016,"Napa Valley, California",Red Wine,97.0,Alejandro Bulgheroni Estate Lithology is a series of single vineyard and AVA-designated wines made from select sites within Napa Valley. Lithology Beckstoffer To Kalon Vineyard is produced solely from fruit grown in the historic Beckstoffer to Kalon Vineyard planted in 1865 by W.H. Crabb and represents Oakville's famous bench land.
Almaviva (1.5 Liter Magnum) 2009,Chile,Red Wine,96.0,"Made from a blend of classic Bordeaux varieties, in which Cabernet Sauvignon predominates, Almaviva is the result of a felicitous encounter between two cultures.  Chile offers its soil, its climate and its vineyards, while France contributes its winemaking savoir-faire and traditions. The result is an exceptionally elegant and complex wine.  Its launch was a major milestone in the development of Chilean wines, both in Chile itself and in the international market."
Almaviva 2009,"Maipo Valley, Chile",Red Wine,96.0,"Made from a blend of classic Bordeaux varieties, in which Cabernet Sauvignon predominates, Almaviva is the result of a felicitous encounter between two cultures.  Chile offers its soil, its climate and its vineyards, while France contributes its winemaking savoir-faire and traditions. The result is an exceptionally elegant and complex wine.  Its launch was a major milestone in the development of Chilean wines, both in Chile itself and in the international market."
